FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
I011721AS1Y16Y17RC,B458,B458,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B459,B459,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B460,B460,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B461,B461,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B462,B462,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B463,B463,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B464,B464,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B465,B465,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B468,B468,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B469,B469,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B484,B484,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B488,B488,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B520,B520,141,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B582,B582,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B583,B583,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B59,B59,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B664,B664,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B671,B671,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B9735,B9735,1,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C01,C01,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C020,C020,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C021,C021,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C022,C022,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C023,C023,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C024,C024,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C028,C028,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C029,C029,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C030,C030,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C031,C031,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C039,C039,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C040,C040,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
